"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-07-09",2025-06-09,"2025-07-09",16
"2","ild","2025-07-09",2025-06-09,"2025-07-09",16
"3","ssh","2025-07-09",2025-06-09,"2025-07-09",16
"4","sst","2025-07-09",2025-06-09,"2025-07-09",16
"5","su","2025-07-09",2025-06-09,"2025-07-09",16
"6","sv","2025-07-09",2025-06-09,"2025-07-09",16
"7","sustr","2025-07-09",2025-06-09,"2025-07-09",16
"8","svstr","2025-07-09",2025-06-09,"2025-07-09",16
"9","sst_sd","2025-07-09",2025-06-09,"2025-07-09",16
"10","ssh_sd","2025-07-09",2025-06-09,"2025-07-09",16
"11","curl","2025-07-09",2025-06-09,"2025-07-09",16
