"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2026-04-23",2026-03-24,"2026-04-23",28
"2","ild","2026-04-23",2026-03-24,"2026-04-23",28
"3","ssh","2026-04-23",2026-03-24,"2026-04-23",28
"4","sst","2026-04-23",2026-03-24,"2026-04-23",28
"5","su","2026-04-23",2026-03-24,"2026-04-23",28
"6","sv","2026-04-23",2026-03-24,"2026-04-23",28
"7","sustr","2026-04-23",2026-03-24,"2026-04-23",28
"8","svstr","2026-04-23",2026-03-24,"2026-04-23",28
"9","sst_sd","2026-04-23",2026-03-24,"2026-04-23",28
"10","ssh_sd","2026-04-23",2026-03-24,"2026-04-23",28
"11","curl","2026-04-23",2026-03-24,"2026-04-23",28
