"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-07-03",2025-06-03,"2025-07-03",22
"2","ild","2025-07-03",2025-06-03,"2025-07-03",22
"3","ssh","2025-07-03",2025-06-03,"2025-07-03",22
"4","sst","2025-07-03",2025-06-03,"2025-07-03",22
"5","su","2025-07-03",2025-06-03,"2025-07-03",22
"6","sv","2025-07-03",2025-06-03,"2025-07-03",22
"7","sustr","2025-07-03",2025-06-03,"2025-07-03",22
"8","svstr","2025-07-03",2025-06-03,"2025-07-03",22
"9","sst_sd","2025-07-03",2025-06-03,"2025-07-03",22
"10","ssh_sd","2025-07-03",2025-06-03,"2025-07-03",22
"11","curl","2025-07-03",2025-06-03,"2025-07-03",22
