"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2024-07-10",2024-06-10,"2024-07-10",28
"2","ild","2024-07-10",2024-06-10,"2024-07-10",28
"3","ssh","2024-07-10",2024-06-10,"2024-07-10",28
"4","sst","2024-07-10",2024-06-10,"2024-07-10",28
"5","su","2024-07-10",2024-06-10,"2024-07-10",28
"6","sv","2024-07-10",2024-06-10,"2024-07-10",28
"7","sustr","2024-07-10",2024-06-10,"2024-07-10",28
"8","svstr","2024-07-10",2024-06-10,"2024-07-10",28
"9","sst_sd","2024-07-10",2024-06-10,"2024-07-10",28
"10","ssh_sd","2024-07-10",2024-06-10,"2024-07-10",28
"11","curl","2024-07-10",2024-06-10,"2024-07-10",28
