"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2024-07-12",2024-06-12,"2024-07-12",30
"2","ild","2024-07-12",2024-06-12,"2024-07-12",30
"3","ssh","2024-07-12",2024-06-12,"2024-07-12",30
"4","sst","2024-07-12",2024-06-12,"2024-07-12",30
"5","su","2024-07-12",2024-06-12,"2024-07-12",30
"6","sv","2024-07-12",2024-06-12,"2024-07-12",30
"7","sustr","2024-07-12",2024-06-12,"2024-07-12",30
"8","svstr","2024-07-12",2024-06-12,"2024-07-12",30
"9","sst_sd","2024-07-12",2024-06-12,"2024-07-12",30
"10","ssh_sd","2024-07-12",2024-06-12,"2024-07-12",30
"11","curl","2024-07-12",2024-06-12,"2024-07-12",30
