"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2024-07-29",2024-06-29,"2024-07-29",29
"2","ild","2024-07-29",2024-06-29,"2024-07-29",29
"3","ssh","2024-07-29",2024-06-29,"2024-07-29",29
"4","sst","2024-07-29",2024-06-29,"2024-07-29",29
"5","su","2024-07-29",2024-06-29,"2024-07-29",29
"6","sv","2024-07-29",2024-06-29,"2024-07-29",29
"7","sustr","2024-07-29",2024-06-29,"2024-07-29",29
"8","svstr","2024-07-29",2024-06-29,"2024-07-29",29
"9","sst_sd","2024-07-29",2024-06-29,"2024-07-29",29
"10","ssh_sd","2024-07-29",2024-06-29,"2024-07-29",29
"11","curl","2024-07-29",2024-06-29,"2024-07-29",29
