"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2026-04-13",2026-03-14,"2026-04-13",30
"2","ild","2026-04-13",2026-03-14,"2026-04-13",30
"3","ssh","2026-04-13",2026-03-14,"2026-04-13",30
"4","sst","2026-04-13",2026-03-14,"2026-04-13",30
"5","su","2026-04-13",2026-03-14,"2026-04-13",30
"6","sv","2026-04-13",2026-03-14,"2026-04-13",30
"7","sustr","2026-04-13",2026-03-14,"2026-04-13",30
"8","svstr","2026-04-13",2026-03-14,"2026-04-13",30
"9","sst_sd","2026-04-13",2026-03-14,"2026-04-13",30
"10","ssh_sd","2026-04-13",2026-03-14,"2026-04-13",30
"11","curl","2026-04-13",2026-03-14,"2026-04-13",30
