"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-08-04",2025-07-05,"2025-08-04",22
"2","ild","2025-08-04",2025-07-05,"2025-08-04",22
"3","ssh","2025-08-04",2025-07-05,"2025-08-04",22
"4","sst","2025-08-04",2025-07-05,"2025-08-04",22
"5","su","2025-08-04",2025-07-05,"2025-08-04",22
"6","sv","2025-08-04",2025-07-05,"2025-08-04",22
"7","sustr","2025-08-04",2025-07-05,"2025-08-04",22
"8","svstr","2025-08-04",2025-07-05,"2025-08-04",22
"9","sst_sd","2025-08-04",2025-07-05,"2025-08-04",22
"10","ssh_sd","2025-08-04",2025-07-05,"2025-08-04",22
"11","curl","2025-08-04",2025-07-05,"2025-08-04",22
