"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-08-15",2025-07-16,"2025-08-15",20
"2","ild","2025-08-15",2025-07-16,"2025-08-15",20
"3","ssh","2025-08-15",2025-07-16,"2025-08-15",20
"4","sst","2025-08-15",2025-07-16,"2025-08-15",20
"5","su","2025-08-15",2025-07-16,"2025-08-15",20
"6","sv","2025-08-15",2025-07-16,"2025-08-15",20
"7","sustr","2025-08-15",2025-07-16,"2025-08-15",20
"8","svstr","2025-08-15",2025-07-16,"2025-08-15",20
"9","sst_sd","2025-08-15",2025-07-16,"2025-08-15",20
"10","ssh_sd","2025-08-15",2025-07-16,"2025-08-15",20
"11","curl","2025-08-15",2025-07-16,"2025-08-15",20
