"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-04-02",2025-03-03,"2025-04-02",30
"2","ild","2025-04-02",2025-03-03,"2025-04-02",30
"3","ssh","2025-04-02",2025-03-03,"2025-04-02",30
"4","sst","2025-04-02",2025-03-03,"2025-04-02",30
"5","su","2025-04-02",2025-03-03,"2025-04-02",30
"6","sv","2025-04-02",2025-03-03,"2025-04-02",30
"7","sustr","2025-04-02",2025-03-03,"2025-04-02",30
"8","svstr","2025-04-02",2025-03-03,"2025-04-02",30
"9","sst_sd","2025-04-02",2025-03-03,"2025-04-02",30
"10","ssh_sd","2025-04-02",2025-03-03,"2025-04-02",30
"11","curl","2025-04-02",2025-03-03,"2025-04-02",30
