"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-04-22",2025-03-23,"2025-04-22",26
"2","ild","2025-04-22",2025-03-23,"2025-04-22",26
"3","ssh","2025-04-22",2025-03-23,"2025-04-22",26
"4","sst","2025-04-22",2025-03-23,"2025-04-22",26
"5","su","2025-04-22",2025-03-23,"2025-04-22",26
"6","sv","2025-04-22",2025-03-23,"2025-04-22",26
"7","sustr","2025-04-22",2025-03-23,"2025-04-22",26
"8","svstr","2025-04-22",2025-03-23,"2025-04-22",26
"9","sst_sd","2025-04-22",2025-03-23,"2025-04-22",26
"10","ssh_sd","2025-04-22",2025-03-23,"2025-04-22",26
"11","curl","2025-04-22",2025-03-23,"2025-04-22",26
