"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2024-06-21",2024-05-22,"2024-06-21",27
"2","ild","2024-06-21",2024-05-22,"2024-06-21",27
"3","ssh","2024-06-21",2024-05-22,"2024-06-21",27
"4","sst","2024-06-21",2024-05-22,"2024-06-21",27
"5","su","2024-06-21",2024-05-22,"2024-06-21",27
"6","sv","2024-06-21",2024-05-22,"2024-06-21",27
"7","sustr","2024-06-21",2024-05-22,"2024-06-21",27
"8","svstr","2024-06-21",2024-05-22,"2024-06-21",27
"9","sst_sd","2024-06-21",2024-05-22,"2024-06-21",27
"10","ssh_sd","2024-06-21",2024-05-22,"2024-06-21",27
"11","curl","2024-06-21",2024-05-22,"2024-06-21",27
